latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42.821,87.92,306.1,1.2,1.1,2018-05-11,2000,Aqua,MODIS,67,6.0NRT,289.4,9.4,N
44.733,90.259,319.9,1,1,2018-05-11,2000,Aqua,MODIS,99,6.0NRT,286.8,20.8,N
44.742,90.261,303.8,1,1,2018-05-11,2000,Aqua,MODIS,57,6.0NRT,286.3,8.2,N
20.795,85.258,310.9,1,1,2018-05-11,2005,Aqua,MODIS,80,6.0NRT,296.4,7.9,N
20.961,85.194,311.5,1,1,2018-05-11,2005,Aqua,MODIS,82,6.0NRT,296.2,8.8,N
20.962,85.184,323.9,1,1,2018-05-11,2005,Aqua,MODIS,100,6.0NRT,296.9,19.8,N
20.964,85.175,312.5,1,1,2018-05-11,2005,Aqua,MODIS,84,6.0NRT,295,9.4,N
22.804,86.206,307.9,1,1,2018-05-11,2005,Aqua,MODIS,73,6.0NRT,296.9,5.1,N
23.678,86.086,306.4,1,1,2018-05-11,2005,Aqua,MODIS,65,6.0NRT,296.3,4.7,N
23.686,86.098,307.4,1,1,2018-05-11,2005,Aqua,MODIS,63,6.0NRT,296.3,5.2,N
23.727,86.448,310.5,1,1,2018-05-11,2005,Aqua,MODIS,80,6.0NRT,295.9,8.1,N
23.772,86.393,310.3,1,1,2018-05-11,2005,Aqua,MODIS,79,6.0NRT,297.5,7.3,N
23.781,86.395,321.4,1,1,2018-05-11,2005,Aqua,MODIS,100,6.0NRT,298.3,16.8,N
23.797,86.348,307.6,1,1,2018-05-11,2005,Aqua,MODIS,10,6.0NRT,297,4.7,N
28.427,82.17,302.3,1.5,1.2,2018-05-11,2005,Aqua,MODIS,48,6.0NRT,289.4,10.5,N
29.125,80.767,302,2,1.4,2018-05-11,2005,Aqua,MODIS,46,6.0NRT,290.2,13.9,N
29.129,80.773,302.8,2,1.4,2018-05-11,2005,Aqua,MODIS,51,6.0NRT,289.8,16.2,N
55.616,85.111,302,2.2,1.5,2018-05-11,1955,Aqua,MODIS,30,6.0NRT,272.2,29.5,N
57.872,105.904,302.5,1.5,1.2,2018-05-11,1955,Aqua,MODIS,49,6.0NRT,269.3,19,N
57.877,105.88,306.1,1.5,1.2,2018-05-11,1955,Aqua,MODIS,67,6.0NRT,269.9,22.7,N
57.879,105.89,315.4,1.5,1.2,2018-05-11,1955,Aqua,MODIS,91,6.0NRT,271.2,34.9,N
58.424,107.462,303.2,1.6,1.2,2018-05-11,1955,Aqua,MODIS,44,6.0NRT,266.1,21.2,N
58.428,107.497,302.2,1.6,1.2,2018-05-11,1955,Aqua,MODIS,27,6.0NRT,264.9,19.4,N
58.452,107.607,308.3,1.6,1.3,2018-05-11,1955,Aqua,MODIS,18,6.0NRT,266.8,25.4,N
57.946,60.048,307.6,2,1.4,2018-05-11,2310,Aqua,MODIS,72,6.0NRT,271.8,35.5,N
57.947,60.057,313.1,2,1.4,2018-05-11,2310,Aqua,MODIS,86,6.0NRT,271.9,46.6,N
63.371,-139.419,331.5,3,1.6,2018-05-11,2255,Aqua,MODIS,82,6.0NRT,290.4,137.1,D
