datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/07/22 16:06:00,NPP-375,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,4,0,1,-21.6802,-41.3524,5
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,5,0,1,-22.9766,-43.6045,20.9
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.4,1,-22.9682,-43.6756,1.8
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,8,0.4,1,-22.9680,-43.6751,1.5
2019/01/04 16:36:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,7,0.7,1,-22.8889,-43.5091,2.6
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,5,0,0.9,-22.8561,-42.4374,1.4
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,12,0,-999,-22.8646,-42.3184,15.2
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,4,0,1,-22.8779,-42.9086,2.8
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,7,0,1,-22.8779,-42.4347,5.4
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,8,0,1,-22.8810,-42.4082,3.9
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,8,0,1,-22.8950,-42.4208,4.1
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,9,0,1,-22.9026,-42.4192,3.5
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,12,0,1,-22.9203,-42.0500,8.6
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,12,0,1,-22.9212,-42.0552,8.6
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,12,0,1,-22.9251,-42.0544,16.4
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,ARRAIAL DO CABO,Mata Atlantica,12,0,1,-22.9443,-42.0718,15
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,BOM JESUS DO ITABAPOANA,Mata Atlantica,4,0,1,-21.0722,-41.7299,4.9
2019/01/11 03:36:00,NPP-375,Brasil,RIO DE JANEIRO,PIRAI,Mata Atlantica,5,0,0.5,-22.7638,-43.8665,2.1
2019/01/11 03:36:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,3,0,1,-22.6438,-43.7073,0.8
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,5,0,0.3,-21.9145,-41.3978,2
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DAS FLORES,Mata Atlantica,2,0,1,-22.1267,-43.6065,9.1
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,MACAE,Mata Atlantica,5,0,0.1,-22.3386,-42.1579,4.2
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,MAGE,Mata Atlantica,-999,0,1,-22.6599,-43.0225,3.9
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,GUAPIMIRIM,Mata Atlantica,5,0,1,-22.7019,-42.9486,4.4
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,6,0,1,-22.7176,-42.2139,9.9
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,6,0,1,-22.7182,-42.2176,3.9
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,13,0,1,-22.7570,-42.0330,5.1
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,13,0,1,-22.7604,-42.0324,5.8
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,-999,0,-999,-22.8218,-43.0106,8.6
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,9,0,1,-22.8269,-42.3834,4.7
2019/01/09 16:42:00,NPP-375,Brasil,RIO DE JANEIRO,BOM JESUS DO ITABAPOANA,Mata Atlantica,4,0,0.7,-20.9202,-41.7883,3.7
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,13,0,1,-22.8517,-42.2980,4.2
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,12,0,1,-22.8638,-42.5628,3.8
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,13,0,1,-22.9239,-42.0541,13.7
2019/01/10 16:24:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,5,0,1,-22.9537,-43.7135,6.4
